"","subject","session","emotion","genuine.accuracy","genuine.rt","group"
"1",30,1,"anger",0.69,1.42,"Control"
"2",30,2,"anger",0.81,1.05,"Control"
"3",30,3,"anger",0.88,0.9,"Control"
"4",30,1,"fear",0.75,1.48,"Control"
"5",30,2,"fear",0.63,1.56,"Control"
"6",30,3,"fear",0.69,0.85,"Control"
"7",30,1,"happiness",0.56,1.04,"Control"
"8",30,2,"happiness",0.69,0.83,"Control"
"9",30,3,"happiness",0.63,0.78,"Control"
