"","subject","session","emotion","genuine.accuracy","genuine.rt","group"
"1",22,1,"anger",0.62,4.46,"Experimental"
"2",22,2,"anger",0.56,2.54,"Experimental"
"3",22,3,"anger",0.62,1.67,"Experimental"
"4",22,1,"fear",0.81,2.58,"Experimental"
"5",22,2,"fear",0.75,1.95,"Experimental"
"6",22,3,"fear",0.75,2.2,"Experimental"
"7",22,1,"happiness",0.56,2.99,"Experimental"
"8",22,2,"happiness",0.44,1.73,"Experimental"
"9",22,3,"happiness",0.75,1.45,"Experimental"
