"","subject","session","emotion","genuine.accuracy","genuine.rt","group"
"1",18,1,"anger",0.75,1.39,"Control"
"2",18,2,"anger",0.75,1.15,"Control"
"3",18,3,"anger",0.75,0.76,"Control"
"4",18,1,"fear",0.81,1.67,"Control"
"5",18,2,"fear",0.88,1.22,"Control"
"6",18,3,"fear",0.88,0.86,"Control"
"7",18,1,"happiness",0.63,1.48,"Control"
"8",18,2,"happiness",0.75,1.18,"Control"
"9",18,3,"happiness",0.69,0.8,"Control"
