"","subject","session","emotion","genuine.accuracy","genuine.rt","group"
"1",36,1,"anger",0.63,2.21,"M1"
"2",36,2,"anger",0.63,1.9,"M1"
"3",36,3,"anger",0.75,2.44,"M1"
"4",36,1,"fear",0.56,2.82,"M1"
"5",36,2,"fear",0.81,2.68,"M1"
"6",36,3,"fear",0.94,1.23,"M1"
"7",36,1,"happiness",0.56,2.16,"M1"
"8",36,2,"happiness",0.56,1.51,"M1"
"9",36,3,"happiness",0.5,1.52,"M1"
