"","subject","session","emotion","genuine.accuracy","genuine.rt","group"
"1",24,1,"anger",0.69,1.21,"Control"
"2",24,2,"anger",0.69,0.94,"Control"
"3",24,3,"anger",0.5,0.7,"Control"
"4",24,1,"fear",0.75,1.46,"Control"
"5",24,2,"fear",0.81,1.44,"Control"
"6",24,3,"fear",0.94,0.79,"Control"
"7",24,1,"happiness",0.63,0.9,"Control"
"8",24,2,"happiness",0.63,0.44,"Control"
"9",24,3,"happiness",0.63,0.45,"Control"
