"","subject","session","emotion","genuine.accuracy","genuine.rt","group"
"1",6,1,"anger",0.75,1.12,"Control"
"2",6,2,"anger",0.81,1.18,"Control"
"3",6,3,"anger",0.75,1.17,"Control"
"4",6,1,"fear",0.75,1.21,"Control"
"5",6,2,"fear",0.81,1.07,"Control"
"6",6,3,"fear",0.88,0.71,"Control"
"7",6,1,"happiness",0.69,0.94,"Control"
"8",6,2,"happiness",0.56,1.06,"Control"
"9",6,3,"happiness",0.75,0.94,"Control"
