"","subject","session","emotion","genuine.accuracy","genuine.rt","group"
"1",20,1,"anger",0.69,1.33,"Control"
"2",20,2,"anger",0.81,0.62,"Control"
"3",20,3,"anger",0.75,0.66,"Control"
"4",20,1,"fear",0.94,1.04,"Control"
"5",20,2,"fear",0.88,0.48,"Control"
"6",20,3,"fear",0.88,0.65,"Control"
"7",20,1,"happiness",0.63,1,"Control"
"8",20,2,"happiness",0.69,0.54,"Control"
"9",20,3,"happiness",0.75,0.49,"Control"
