"","subject","session","emotion","genuine.accuracy","genuine.rt","group"
"1",2,1,"anger",0.69,2.38,"Experimental"
"2",2,2,"anger",0.69,1.76,"Experimental"
"3",2,3,"anger",0.75,2.26,"Experimental"
"4",2,1,"fear",0.88,2.91,"Experimental"
"5",2,2,"fear",0.75,2.52,"Experimental"
"6",2,3,"fear",0.69,1.65,"Experimental"
"7",2,1,"happiness",0.69,1.89,"Experimental"
"8",2,2,"happiness",0.75,1.52,"Experimental"
"9",2,3,"happiness",0.75,1.55,"Experimental"
