"","subject","session","emotion","genuine.accuracy","genuine.rt","group"
"1",17,1,"anger",0.56,1.68,"Experimental"
"2",17,2,"anger",0.56,1.92,"Experimental"
"3",17,3,"anger",0.69,1,"Experimental"
"4",17,1,"fear",0.75,1.42,"Experimental"
"5",17,2,"fear",0.81,1.57,"Experimental"
"6",17,3,"fear",0.81,0.99,"Experimental"
"7",17,1,"happiness",0.56,1.58,"Experimental"
"8",17,2,"happiness",0.56,1.06,"Experimental"
"9",17,3,"happiness",0.63,1.09,"Experimental"
