"","subject","session","emotion","genuine.accuracy","genuine.rt","genuine.slider.correct","genuine.slider.incorrect","emotion.accuracy","emotion.slider.correct","emotion.slider.incorrect","group"
"1",30,1,"anger",0.69,1.45,4,2,1,3.63,NA,"Control"
"2",30,2,"anger",0.81,1.02,3.5,2.25,1,4,NA,"Control"
"3",30,3,"anger",0.88,0.72,3.22,2.5,1,3.44,NA,"Control"
"4",30,1,"fear",0.75,1.74,4.67,3.66,0.88,5.43,5.5,"Control"
"5",30,2,"fear",0.63,0.92,4.48,2.4,1,4.75,NA,"Control"
"6",30,3,"fear",0.69,0.72,4.32,1.38,1,4.56,NA,"Control"
"7",30,1,"happiness",0.56,1.59,2.81,4,1,4.19,NA,"Control"
"8",30,2,"happiness",0.69,0.88,2.75,2.4,1,3.37,NA,"Control"
"9",30,3,"happiness",0.63,0.86,2.95,1.7,1,2.81,NA,"Control"
