"","subject","session","emotion","genuine.accuracy","genuine.rt","genuine.slider.correct","genuine.slider.incorrect","emotion.accuracy","emotion.slider.correct","emotion.slider.incorrect","group"
"1",13,1,"anger",0.62,1.82,-0.84,-0.38,0.94,2.44,1,"Experimental"
"2",13,2,"anger",0.69,1.69,-1.4,-0.88,0.94,2.44,2,"Experimental"
"3",13,3,"anger",0.88,1.55,-0.77,-3,1,2.63,NA,"Experimental"
"4",13,1,"fear",0.81,2.08,-0.17,0.75,1,4.31,NA,"Experimental"
"5",13,2,"fear",0.69,1.33,-0.48,-0.5,1,3.94,NA,"Experimental"
"6",13,3,"fear",0.81,1.4,-0.42,0,1,4.62,NA,"Experimental"
"7",13,1,"happiness",0.75,1.63,0.25,-0.66,1,3.44,NA,"Experimental"
"8",13,2,"happiness",0.69,1.28,-0.16,-0.38,1,3.32,NA,"Experimental"
"9",13,3,"happiness",0.81,1.56,-0.16,2.67,1,3.38,NA,"Experimental"
