"","subject","session","emotion","genuine.accuracy","genuine.rt","genuine.slider.correct","genuine.slider.incorrect","emotion.accuracy","emotion.slider.correct","emotion.slider.incorrect","group"
"1",16,1,"anger",0.69,1.72,4.14,2.75,1,3.38,NA,"Control"
"2",16,2,"anger",0.75,1.25,4,2.25,1,3.5,NA,"Control"
"3",16,3,"anger",0.69,1.65,4.09,2.75,1,3.88,NA,"Control"
"4",16,1,"fear",0.81,1.75,4.76,3,1,4.81,NA,"Control"
"5",16,2,"fear",0.88,1.66,4.61,3,1,5,NA,"Control"
"6",16,3,"fear",0.88,1.62,5.16,4.5,1,4.94,NA,"Control"
"7",16,1,"happiness",0.69,1.29,3.88,4.25,1,3.06,NA,"Control"
"8",16,2,"happiness",0.75,1.58,3.52,2.16,1,3.88,NA,"Control"
"9",16,3,"happiness",0.75,1.61,3.05,2,1,3.62,NA,"Control"
