"","subject","session","emotion","genuine.accuracy","genuine.rt","group"
"1",36,1,"anger",0.63,3.42,"M1"
"2",36,2,"anger",0.63,1.89,"M1"
"3",36,3,"anger",0.75,1.96,"M1"
"4",36,1,"fear",0.56,2.72,"M1"
"5",36,2,"fear",0.81,1.78,"M1"
"6",36,3,"fear",0.94,1.22,"M1"
"7",36,1,"happiness",0.56,2.93,"M1"
"8",36,2,"happiness",0.56,1.07,"M1"
"9",36,3,"happiness",0.5,2.6,"M1"
