"","subject","session","emotion","genuine.accuracy","genuine.rt","genuine.slider.correct","genuine.slider.incorrect","emotion.accuracy","emotion.slider.correct","emotion.slider.incorrect","group"
"1",4,1,"anger",0.56,0.97,-0.75,-0.5,0.88,2.71,2.5,"Experimental"
"2",4,2,"anger",0.81,1.24,-0.47,-1,0.88,2.9,1.5,"Experimental"
"3",4,3,"anger",0.75,0.5,-0.04,-0.33,1,3.75,NA,"Experimental"
"4",4,1,"fear",0.81,0.8,-0.87,-0.5,1,3.75,NA,"Experimental"
"5",4,2,"fear",0.88,0.58,0.31,2.5,0.94,3.04,2,"Experimental"
"6",4,3,"fear",0.81,0.38,0.25,0,0.94,4.04,4,"Experimental"
"7",4,1,"happiness",0.75,1.26,-0.31,3.5,1,2.75,NA,"Experimental"
"8",4,2,"happiness",0.56,0.64,-0.9,-0.66,1,3.25,NA,"Experimental"
"9",4,3,"happiness",0.69,0.62,-0.12,0.5,1,3.44,NA,"Experimental"
