"","subject","session","emotion","genuine.accuracy","genuine.rt","genuine.slider.correct","genuine.slider.incorrect","emotion.accuracy","emotion.slider.correct","emotion.slider.incorrect","group"
"1",14,1,"anger",0.69,2.55,3.79,2.88,1,4.69,NA,"Experimental"
"2",14,2,"anger",0.94,1.78,3.34,2,1,3.31,NA,"Experimental"
"3",14,3,"anger",0.69,1.96,3.6,2.58,0.94,3.06,3,"Experimental"
"4",14,1,"fear",0.75,1.95,4.31,3.75,0.75,5.08,5.5,"Experimental"
"5",14,2,"fear",0.81,1.74,4.04,2,0.94,4.97,3,"Experimental"
"6",14,3,"fear",0.75,1.25,4.56,2,1,4.75,NA,"Experimental"
"7",14,1,"happiness",0.75,1.33,4,2.75,1,4.25,NA,"Experimental"
"8",14,2,"happiness",0.75,1.38,3.68,2.5,1,3.68,NA,"Experimental"
"9",14,3,"happiness",0.88,0.97,3.34,2,1,2.81,NA,"Experimental"
