"","subject","session","emotion","genuine.accuracy","genuine.rt","genuine.slider.correct","genuine.slider.incorrect","emotion.accuracy","emotion.slider.correct","emotion.slider.incorrect","group"
"1",3,1,"anger",0.5,2.63,4.54,2.77,1,3.94,NA,"Experimental"
"2",3,2,"anger",0.75,3,3.75,1.75,1,3.25,NA,"Experimental"
"3",3,3,"anger",0.69,2.42,4.27,2,1,3.44,NA,"Experimental"
"4",3,1,"fear",0.75,3.9,3.6,3,0.94,4.02,1,"Experimental"
"5",3,2,"fear",0.88,2.46,3.58,3,0.81,5.06,4,"Experimental"
"6",3,3,"fear",0.75,2.76,4.58,3,0.81,4.98,5.75,"Experimental"
"7",3,1,"happiness",0.62,2.81,3.29,2.75,1,2.88,NA,"Experimental"
"8",3,2,"happiness",0.62,1.85,3.4,2.16,1,2.25,NA,"Experimental"
"9",3,3,"happiness",0.69,2.73,3.68,3.75,1,2.32,NA,"Experimental"
