"","subject","session","emotion","genuine.accuracy","genuine.rt","genuine.slider.correct","genuine.slider.incorrect","emotion.accuracy","emotion.slider.correct","emotion.slider.incorrect","group"
"1",40,1,"anger",0.5,1.35,4.62,3.25,0.94,4.46,1,"M1"
"2",40,2,"anger",0.88,1.46,3.71,5,1,3.06,NA,"M1"
"3",40,3,"anger",0.75,1.31,3.42,3.75,1,3.63,NA,"M1"
"4",40,1,"fear",0.56,1.52,4.25,3.16,1,5.37,NA,"M1"
"5",40,2,"fear",0.62,1.42,3.79,3.62,1,5,NA,"M1"
"6",40,3,"fear",0.69,0.78,4.3,3.88,1,5.5,NA,"M1"
"7",40,1,"happiness",0.44,1.04,4.25,3.92,1,4.19,NA,"M1"
"8",40,2,"happiness",0.56,0.6,4.34,3.8,1,3.44,NA,"M1"
"9",40,3,"happiness",0.56,0.61,3.9,2.84,1,3.38,NA,"M1"
