"","subject","session","emotion","genuine.accuracy","genuine.rt","genuine.slider.correct","genuine.slider.incorrect","emotion.accuracy","emotion.slider.correct","emotion.slider.incorrect","group"
"1",42,1,"anger",0.69,2.41,6.75,4.6,1,5.75,NA,"M1"
"2",42,2,"anger",0.75,2.45,6.1,4.16,1,5.38,NA,"M1"
"3",42,3,"anger",0.75,1.42,6,5.5,1,5.81,NA,"M1"
"4",42,1,"fear",0.56,2.17,4.58,4.6,0.94,5.82,7,"M1"
"5",42,2,"fear",0.75,2.42,5.8,6,1,5.63,NA,"M1"
"6",42,3,"fear",0.81,1.32,6.05,6.5,1,6.06,NA,"M1"
"7",42,1,"happiness",0.56,1.36,6.1,4.75,1,4.75,NA,"M1"
"8",42,2,"happiness",0.69,2.15,5.31,3.84,1,4.38,NA,"M1"
"9",42,3,"happiness",0.62,3.59,4.56,4.5,1,4.62,NA,"M1"
