"","subject","session","emotion","genuine.accuracy","genuine.rt","genuine.slider.correct","genuine.slider.incorrect","emotion.accuracy","emotion.slider.correct","emotion.slider.incorrect","group"
"1",12,1,"anger",0.69,1.61,4.06,2.58,1,3.19,NA,"Experimental"
"2",12,2,"anger",0.75,1.3,2.82,2.34,0.94,3.49,1,"Experimental"
"3",12,3,"anger",0.69,0.79,2.34,2.6,0.94,2.84,1,"Experimental"
"4",12,1,"fear",0.75,1.3,4.08,3.75,1,4.12,NA,"Experimental"
"5",12,2,"fear",0.75,0.88,2.75,2.25,1,3.62,NA,"Experimental"
"6",12,3,"fear",0.62,1.03,2.1,2.66,1,3.25,NA,"Experimental"
"7",12,1,"happiness",0.5,1.07,4.36,3.79,1,4.5,NA,"Experimental"
"8",12,2,"happiness",0.5,0.98,2.43,2.07,1,3.38,NA,"Experimental"
"9",12,3,"happiness",0.69,0.6,2.1,1.62,1,2.87,NA,"Experimental"
