"","subject","session","emotion","genuine.accuracy","genuine.rt","genuine.slider.correct","genuine.slider.incorrect","emotion.accuracy","emotion.slider.correct","emotion.slider.incorrect","group"
"1",19,1,"anger",0.69,2.26,0.27,0.75,1,2.5,NA,"Experimental"
"2",19,2,"anger",0.44,1.47,-4.14,-0.75,1,3.19,NA,"Experimental"
"3",19,3,"anger",0.63,1.95,-0.64,0.5,0.94,3.41,3,"Experimental"
"4",19,1,"fear",0.56,2.58,0.57,0.58,0.94,3.27,1,"Experimental"
"5",19,2,"fear",0.5,1.38,0.25,0,0.94,3.86,1,"Experimental"
"6",19,3,"fear",0.69,2.28,0.17,-0.08,1,3.18,NA,"Experimental"
"7",19,1,"happiness",0.75,2.44,1.67,0.25,1,3.44,NA,"Experimental"
"8",19,2,"happiness",0.56,1.78,0.15,-0.29,1,3.56,NA,"Experimental"
"9",19,3,"happiness",0.5,1.58,1.17,0.7,1,4.12,NA,"Experimental"
