"","subject","session","emotion","genuine.accuracy","genuine.rt","genuine.slider.correct","genuine.slider.incorrect","emotion.accuracy","emotion.slider.correct","emotion.slider.incorrect","group"
"1",34,1,"anger",0.75,2.12,5.25,3.5,1,4.56,NA,"M1"
"2",34,2,"anger",0.75,1.97,4,2.25,1,4,NA,"M1"
"3",34,3,"anger",0.75,1.64,3.75,3.5,1,3.63,NA,"M1"
"4",34,1,"fear",0.75,2.58,5.42,5.25,1,4.88,NA,"M1"
"5",34,2,"fear",0.88,2.42,4.88,2,1,4.5,NA,"M1"
"6",34,3,"fear",0.88,2.21,3.92,2.5,1,4.88,NA,"M1"
"7",34,1,"happiness",0.69,2.89,4.54,4.5,1,4.38,NA,"M1"
"8",34,2,"happiness",0.88,2.45,2.81,2,1,3.69,NA,"M1"
"9",34,3,"happiness",0.56,1.63,4.08,2.2,1,3.68,NA,"M1"
